id_paper,id_publisher
"OSMANCEVIC L, 2017, MEDIJSKE STUD, V8, P122",SVEUCILISTE & ZAGREBU
"OSMANCEVIC L, 2017, MEDIJSKE STUD, V8, P122", FAK POLITICKIH ZNANOSTI
"FIIALKA S, 2017, MEDIAOBRAZOVANIE, P7",UNESCO
"FIIALKA S, 2017, MEDIAOBRAZOVANIE, P7", MOSCOW OFFICE
"GALAKTIONOVA T, 2017, MEDIAOBRAZOVANIE, P47",UNESCO
"GALAKTIONOVA T, 2017, MEDIAOBRAZOVANIE, P47", MOSCOW OFFICE
"TEPLYASHINA AN, 2017, MEDIAOBRAZOVANIE, P62",UNESCO
"TEPLYASHINA AN, 2017, MEDIAOBRAZOVANIE, P62", MOSCOW OFFICE
"WENINGER C, 2017, ASIA PAC J EDUC, V37, P500, DOI 10.1080/02188791.2017.1336429",ROUTLEDGE JOURNALS
"WENINGER C, 2017, ASIA PAC J EDUC, V37, P500, DOI 10.1080/02188791.2017.1336429", TAYLOR & FRANCIS LTD
"VAN AUDENHOVE L, 2017, TIJDSCHR COMMUNWET, V45, P244",UITGEVERIJ BOOM BV
"SYZONOV D, 2017, SCI EDUC-UKRAINE, P82, DOI 10.24195/2414-4665-2017-7-13",SOUTH UKRAINIAN NATL UNIV K D USHYNSKY
"DANEELS R, 2017, CYBERPSYCHOLOGY, V11, DOI 10.5817/CP2017-3-5",MASARYKOVA UNIV
"DANEELS R, 2017, CYBERPSYCHOLOGY, V11, DOI 10.5817/CP2017-3-5", FAC SOCIAL STUDIES
"GARIFULLIN VZ, 2017, AD ALTA-INTERDISCIP, V7, P103",MAGNANIMITAS
"DIAZ VM, 2017, EDMETIC, V6, P1",UNIV CORDOBA
"DIAZ VM, 2017, EDMETIC, V6, P1", FAC CIENCIAS EDUCACION
"GUERRERO IMM, 2017, EDMETIC, V6, P149, DOI 10.21071/EDMETIC.V6I2.6943",UNIV CORDOBA
"GUERRERO IMM, 2017, EDMETIC, V6, P149, DOI 10.21071/EDMETIC.V6I2.6943", FAC CIENCIAS EDUCACION
"POWELL M, 2017, LEARN MEDIA TECHNOL, V42, P378",ROUTLEDGE JOURNALS
"POWELL M, 2017, LEARN MEDIA TECHNOL, V42, P378", TAYLOR & FRANCIS LTD
"POTTER J, 2017, LEARN MEDIA TECHNOL, V42, P387, DOI 10.1080/17439884.2017.1397019",ROUTLEDGE JOURNALS
"POTTER J, 2017, LEARN MEDIA TECHNOL, V42, P387, DOI 10.1080/17439884.2017.1397019", TAYLOR & FRANCIS LTD
"LABAS D, 2017, NOVA PRISUT, V15, P211",KRSCANSKI AKAD KRUG
"BONFIGLIO RP, 2017, BIBLIC INTERPRET, V25, P293, DOI 10.1163/15685152-00253P02",BRILL ACADEMIC PUBLISHERS
"[ANONYMOUS], 2017, MEDIAOBRAZOVANIE, P6",UNESCO
"[ANONYMOUS], 2017, MEDIAOBRAZOVANIE, P6", MOSCOW OFFICE
"GENDINA N, 2017, MEDIAOBRAZOVANIE, P27",UNESCO
"GENDINA N, 2017, MEDIAOBRAZOVANIE, P27", MOSCOW OFFICE
"KITSA M, 2017, MEDIAOBRAZOVANIE, P79",UNESCO
"KITSA M, 2017, MEDIAOBRAZOVANIE, P79", MOSCOW OFFICE
"JOANOU JP, 2017, MULTICULT PERSPECT, V19, P40, DOI 10.1080/15210960.2017.1267514",TAYLOR & FRANCIS INC
"CHEN Y, 2017, HEALTH COMMUN, V32, P1310, DOI 10.1080/10410236.2016.1220041",ROUTLEDGE JOURNALS
"CHEN Y, 2017, HEALTH COMMUN, V32, P1310, DOI 10.1080/10410236.2016.1220041", TAYLOR & FRANCIS LTD
"ASTAKHOVA LV, 2017, MEDIAOBRAZOVANIE, P14",UNESCO
"ASTAKHOVA LV, 2017, MEDIAOBRAZOVANIE, P14", MOSCOW OFFICE
"KIM SJ, 2017, J CHILD MEDIA, V11, P198, DOI 10.1080/17482798.2017.1297246",ROUTLEDGE JOURNALS
"KIM SJ, 2017, J CHILD MEDIA, V11, P198, DOI 10.1080/17482798.2017.1297246", TAYLOR & FRANCIS LTD
"SCHREURS K, 2017, CAN J COMMUN, V42, P359, DOI 10.22230/CJC2017V42N2A3130",CANADIAN JOURNAL COMMUNICATION
"CUBBAGE J, 2017, J HUM BEHAV SOC ENVI, V27, P498, DOI 10.1080/10911359.2016.1184115",ROUTLEDGE JOURNALS
"CUBBAGE J, 2017, J HUM BEHAV SOC ENVI, V27, P498, DOI 10.1080/10911359.2016.1184115", TAYLOR & FRANCIS LTD
"DHILLON M, 2017, J INDIAN ASSOC CHILD, V13, P48",INDIAN ASSOC CHILD & ADOLESCENT MENTAL HEALTH
"HERZBERG TS, 2017, J VISUAL IMPAIR BLIN, V111, P49",AMER FOUNDATION BLIND
"HOBBS R, 2017, BRIT J EDUC TECHNOL, V48, P7, DOI 10.1111/BJET.12326",WILEY-BLACKWELL
"DIERGARTEN AK, 2017, J APPL DEV PSYCHOL, V48, P33, DOI 10.1016/J.APPDEV.2016.11.007",ELSEVIER SCIENCE INC
"SCARCELLI CM, 2016, TECNOSCIENZA, V7, P81",TECNOSCIENZA
"KARAA IE, 2016, EDUC SCI-THEOR PRACT, V16, P1865, DOI 10.12738/ESTP.2016.6.0415",EDAM
"BICKEL L, 2016, BIBL FORSCH PRAX, V40, P378, DOI 10.1515/BFP-2016-0060",WALTER DE GRUYTER GMBH
"MCLEAN SA, 2016, BODY IMAGE, V19, P9, DOI 10.1016/J.BODYIM.2016.08.002",ELSEVIER SCIENCE BV
"MORAVCIKOVA M, 2016, EUR J SCI THEOL, V12, P211",ACAD ORGANISATION ENVIRONMENTAL ENGINEERING & SUSTAINABLE DEV
"MCLEAN SA, 2016, J EAT DISORD, V4, DOI 10.1186/S40337-016-0116-0",BIOMED CENTRAL LTD
"SORIANO CRR, 2016, INFORM SOC, V32, P354, DOI 10.1080/01972243.2016.1212620",TAYLOR & FRANCIS INC
"VRABEC N, 2016, COMMUN TODAY, V7, P100",UNIV SS CYRIL & METHODIUS TRNAVA
"VRABEC N, 2016, COMMUN TODAY, V7, P100", FAC MASS MEDIA COMMUNICATION
"GORDON CS, 2016, J STUD ALCOHOL DRUGS, V77, P950, DOI 10.15288/JSAD.2016.77.950",ALCOHOL RES DOCUMENTATION INC CENT ALCOHOL STUD RUTGERS UNIV
"KLINE K, 2016, EDUC THEORY, V66, P641, DOI 10.1111/EDTH.12203",WILEY
"BIER MC, 2016, J SCHOOL HEALTH, V86, P717, DOI 10.1111/JOSH.12425",WILEY-BLACKWELL
"NUPAIROJ N, 2016, COMUNICAR, P29, DOI 10.3916/C49-2016-03",GRUPO COMUNICAR
