author_full_name,country,university
"ABRAMS, LEAH R.",USA,UNIV MICHIGAN
"KOEHLY, LAURA M.",USA,NHGRI
"HOOKER, GILLIAN W.",USA,NEXTGXDX
"PAQUIN, RYAN S.",USA,RTI INT
"CAPELLA, JOSEPH N.",USA,UNIV PENN
"MCBRIDE, COLLEEN M.",USA,EMORY UNIV
"MINASSIAN, LAURE",FRANCE,UNIV CAEN
"EL-GUEBALY, LANI",CANADA,UNIV BRITISH COLUMBIA
"BUTTERWICK, SHAUNA",CANADA,UNIV BRITISH COLUMBIA
"GOESSLING, KRISTEN P.",USA,PENN STATE UNIV
"GERTRUDIX-BARRIO, FELIPE",SPAIN,UNIV CASTILLA LA MANCHA
"GALVEZ DE LA CUESTA, MARIA DEL CARMEN",SPAIN,UNIV REY JUAN CARLOS
"SAID-HUNG, ELIAS",COLOMBIA,UNIV NORTE
"DURAN-MEDINA CORREO, JOSE FRANCISCO",SPAIN,UNIV CASTILLA LA MANCHA
"MULDROW, ADRIENNE",USA,WASHINGTON STATE UNIV
"ROMERO-RODRIGUEZ, LUIS M.",COLOMBIA,UNIV SANTIAGO CALI
"TORRES-TOUKOUMIDIS, ANGEL",SPAIN,UNIV HUELVA
"AMOR PEREZ-RODRIGUEZ, M.",SPAIN,UNIV HUELVA
"CLAVERO IBANEZ DE GARAYO, SERGIO",SPAIN,IES CACHEIRAS
"ANTONIO GABELAS-BARROSO, JOSE",SPAIN,UNIV ZARAGOZA
"PFAFF-RUEDIGER, SENTA",GERMANY,LUDWIG MAXIMILIANS UNIV MUNCHEN
"RIESMEYER, CLAUDIA",GERMANY,LUDWIG MAXIMILIANS UNIV MUNCHEN
"NEIRA CRUZ, XOSE ANTONIO",SPAIN,UNIV SANTIAGO DE COMPOSTELA
"LOZANOVA, LILIA",BULGARIA,KONSTANTIN PRESLAVSKY UNIV SHUMEN
"CHELYSHEVA, IRINA",RUSSIA,ROSTOV STATE UNIV ECON
"MASON, LANCE",USA,INDIANA UNIV
"VANWESENBEECK, INI",UNIV ANTWERP,"RES FDN FLANDERS, BRUSSELS, BELGIUM"
"WALRAVE, MICHEL",BELGIUM,UNIV ANTWERP
"PONNET, KOEN","HIGHER INST FAMILY SCI, BRUSSELS, BELGIUM","UNIV ANTWERP, HERMAN DELEECK CTR SOCIAL POLICY, DEPT SOCIOL, FAC SOCIAL SCI, BRUSSELS, BELGIUM"
"WATSON, A.",USA,UNIV WASHINGTON
"NADIRAH, NUR M. S.",MALAYSIA,UNIV PUTRA MALAYSIA
"GHAZALI, H.",MALAYSIA,UNIV PUTRA MALAYSIA
"BAKAR, A. Z. A.",MALAYSIA,UNIV PUTRA MALAYSIA
"OTHMAN, M.",UNIV PUTRA MALAYSIA,"UNIV PUTRA MALAYSIA, HALAL PROD RES INST, UPM SERDANG 43400, SELANGOR, MALAYSIA"
"PATTERSON, ASHLEY N.",USA,UNIV PENN
"HOWARD, ARIANNA",USA,OHIO STATE UNIV
"KINLOCH, VALERIE",OHIO STATE UNIV,"OHIO STATE UNIV, DEPT TEACHING & LEARNING, LITERACY STUDIES, COLUMBUS, OH 43210 USA"
"BANERJEE, SMITA C.",MEM SLOAN KETTERING CANC CTR,"MONTCLAIR STATE UNIV, DEPT COMMUN STUDIES, MONTCLAIR, NJ 07043 USA.;   RUTGERS STATE UNIV, DEPT COMMUN, PISCATAWAY, NJ 08855 USA"
"GREENE, KATHRYN",RUTGERS STATE UNIV,"RUTGERS STATE UNIV, NEW BRUNSWICK, NJ 08903 USA"
"MAGSAMEN-CONRAD, KATE",USA,BOWLING GREEN STATE UNIV
"ELEK, ELVIRA",USA,RTI INT
"HECHT, MICHAEL L.",USA,PENN STATE UNIV
"MILLINGTON, BRAD",ENGLAND,UNIV BATH
"MAGUIRE, MILES",USA,UNIV WISCONSIN
"GEORGES, ANNABEL",BELGIUM,IMINDS MICT UGENT
"VANDERLINDE, RUBEN",BELGIUM,UNIV GHENT
"VERDEGEM, PIETER","UNIV GHENT, VAKGROEP COMMUN WETENSCHAPPEN, NIEUWE MEDIA INFORMAT & COMMUN TECHNOL, GHENT, BELGIUM","UNIV GHENT, VAKGROEP COMMUN WETENSCHAPPEN, NIEUWE MEDIA INFORMAT & COMMUN TECHNOL, GHENT, BELGIUM"
"LARCOM, M.",USA,BLOOMSBURG UNIV
"MCDONALD, K.",USA,BLOOMSBURG UNIV
"CELLUCCI, N.",USA,BLOOMSBURG UNIV
"MAGOLIS, D.",USA,BLOOMSBURG UNIV
"WEEDON, ALEXIS",ENGLAND,UNIV BEDFORDSHIRE
"KNIGHT, JULIA",ENGLAND,UNIV SUNDERLAND
"MOSES, ANNIE M.","JOHN CARROLL UNIV, DEPT EDUC & ALLIED STUDIES, UNIVERSITY HTS, OH USA","JOHN CARROLL UNIV, SCH PSYCHOL, UNIVERSITY HTS, OH 44118 USA"
"BENNETT, COLLEEN M.",JOHN CARROLL UNIV,"JOHN CARROLL UNIV, SCH PSYCHOL, UNIVERSITY HTS, OH 44118 USA"
"GOLOS, DEBBIE B.",UTAH STATE UNIV,"UTAH STATE UNIV, DEPT COMMUNICAT DISORDERS & DEAF EDUC, LOGAN, UT 84322 USA"
"PARK, SORA",UNIV CANBERRA,"UNIV CANBERRA, CANBERRA, ACT 2601, AUSTRALIA"
"KIM, EUN-MEE",KOREA,SEOUL NATL UNIV
"NA, EUN-YEONG",KOREA,SOGANG UNIV
"LIN, TZU-BIN","NATL TAIWAN NORMAL UNIV, DEPT EDUC, TAIPEI, TAIWAN","NATL TAIWAN NORMAL UNIV, DEPT EDUC, TAIPEI, TAIWAN"
"MOKHTAR, INTAN AZURA",SINGAPORE,NATL INST EDUC
"WANG, LI-YI",SINGAPORE,NATL INST EDUC
"FRIAS-GUZMAN, MAYLIN",BRAZIL,DEPT CIENCIAS INFORMAC
"ARISTIZABAL, PILAR",SPAIN,UNIV PAIS VASCO UPV EHU
"LASARTE, GEMA",SPAIN,UNIV PAIS VASCO UPV EHU
"TRESSERRAS, ALAITZ",SPAIN,UNIV PAIS VASCO UPV EHU
"PARTRIDGE, R. SCOTT",USA,PURDUE UNIV
"BROCK, MEGAN",USA,UNIV GEORGIA
"PROKHOROV, ALEXANDER",USA,COLL WILLIAM & MARY
"THERKELSEN, JES",USA,CALIF STATE UNIV FRESNO
"GUERRERO-PICO, MAR",UNIV POMPEU FABRA,"UNIV POMPEU FABRA, BARCELONA, SPAIN"
"DALTON, RUSSELL W.",USA,TEXAS CHRISTIAN UNIV
"CARR, PAUL R.",CANADA,UNIV QUEBEC OUTAOUAIS
"PLUIM, GARY W. J.",CANADA,LAKEHEAD UNIV
"HOWARD, LAUREN",CANADA,LAKEHEAD UNIV
"PINKLETON, BRUCE E.","WASHINGTON STATE UNIV, EDWARD R MURROW COLL COMMUN, MURROW CTR MEDIA & HLTH PROMOT RES, PULLMAN, WA 99164 USA","WASHINGTON STATE UNIV, EDWARD R MURROW COLL COMMUN, MURROW CTR MEDIA & HLTH PROMOT RES, PULLMAN, WA 99164 USA"
"CHEN, YI-CHUN (YVONNES)","VIRGINIA TECH UNIV, DEPT COMMUN, BLACKSBURG, VA USA","UNIV KANSAS, WILLIAM ALLEN WHITE SCH JOURNALISM & MASS COMMUN, LAWRENCE, KS 66045 USA"
"MARIN-GUTIERREZ, ISIDRO",ECUADOR,UNIV TECN PARTICULAR LOJA
"DIAZ-PAREJO, ELENA",SPAIN,UNIV JAEN
"LEE, LING","NATL INST EDUC, OFF ACAD QUAL MANAGEMENT, SINGAPORE, SINGAPORE","NATL INST EDUC, SINGAPORE 637616, SINGAPORE"
"CHEN, DER-THANQ",NATL INST EDUC,"NATL INST EDUC, SINGAPORE 637616, SINGAPORE"
"LI, JEN-YI","NATL INST EDUC, OFF EDUC RES, SINGAPORE, SINGAPORE","NATL INST EDUC, SINGAPORE 637616, SINGAPORE"
"MANDROLA, JOHN",USA,BAPTIST HLTH
"KARPATI, ANDREA",HUNGARY,ELTE UNIV
"HINDMARSH, CHLOE S.",AUSTRALIA,UNIV WOLLONGONG
"DEZUANNI, MICHAEL",QUEENSLAND UNIV TECHNOL,"QUEENSLAND UNIV TECHNOL, CREAT IND FAC, KELVIN GROVE 4059, AUSTRALIA"
"RIBEIRO PESSOA, MARIA TERESA",PORTUGAL,UNIV COIMBRA
"HERNANDEZ SERRANO, MARIA JOSE",SPAIN,UNIV SALAMANCA
"MUNOZ RODRIGUEZ, JOSE MANUEL",SPAIN,UNIV SALAMANCA
"LIAO, LI-LING",TAIWAN,I SHOU UNIV
"LAI, I-JU",TAIWAN,I SHOU UNIV
"PEREIRA, SARA","UNIV MINHO, DEPT COMMUN SCI, BRAGA, PORTUGAL","UNIV MINHO, DEPT COMMUN SCI, P-4710057 BRAGA, PORTUGAL"
"PEREIRA, LUIS",UNIV MINHO,"UNIV MINHO, COMMUN & SOC RES CTR, BRAGA, PORTUGAL"
"RAMASUBRAMANIAN, SRIVIDYA",USA,TEXAS A&M UNIV
"TEICHERT, LAURA",CANADA,UNIV BRITISH COLUMBIA
"EGBERT, JOY",USA,WASHINGTON STATE UNIV
"NEVILLE, CHON",USA,WASHINGTON STATE UNIV
"MOHAMAD, EMMA",MALAYSIA,UNIV KEBANGSAAN MALAYSIA
"SALLEH, SABARIAH MOHAMED",MALAYSIA,UNIV KEBANGSAAN MALAYSIA
"AHMAD, ABDUL LATIFF",MALAYSIA,UNIV KEBANGSAAN MALAYSIA
"HASHIM, HASRUL",MALAYSIA,UNIV KEBANGSAAN MALAYSIA
"HANIFF, NUR AFIQAH MOHD",MALAYSIA,UNIV KEBANGSAAN MALAYSIA
"NAZIROGLU, BAYRAMALI",TURKEY,RECEP TAYYIP ERDOGAN UNIV
"WANG, ZHIJUN",USA,UNIV MASSACHUSETTS
"TUCHO, F.",SPAIN,UNIV REY JUAN CARLOS
"FERNANDEZ-PLANELLS, A.",SPAIN,UNIV POMPEU FABRA
"FIGUERAS-MAZ, M.",SPAIN,UNIV POMPEU FABRA
"LOZANO, M.",SPAIN,UNIV JAUME I CASTELLON
"DORNALETECHE-RUIZ, JON",SPAIN,UNIV VALLADOLID
"BUITRAGO-ALONSO, ALEJANDRO",SPAIN,UNIV VALLADOLID
"MORENO-CARDENAL, LUISA",SPAIN,UNIV VALLADOLID
"LOPEZ, LAURA",SPAIN,UNIV MALAGA
"AGUADED, MARIA-CINTA",SPAIN,UNIV HUELVA
"TEWKSBURY, DOUG",USA,NIAGARA UNIV
"BUITRAGO, ALEJANDRO",SPAIN,UNIV VALLADOLID
"RABADAN, ANGEL V.",SPAIN,UNIV HUELVA
"TSE, CARRIE K. W.",CHINA,UNIV HONG KONG
"SRINIVASAN, DIVYA PARTHASARATHY",CHINA,UNIV HONG KONG
"CHENG, BRENDA S. S.",CHINA,UNIV HONG KONG
"BRIDGES, SUSAN M.",CHINA,UNIV HONG KONG
"CERIGATTO, MARIANA PICARO",UNIV ESTADUAL PAULISTA,"UNIV ESTADUAL PAULISTA, PROGRAMA CIENCIA INFORMACAO, SAO PAULO, BRAZIL"
"SILVA CASARIN, HELEN DE CASTRO",UNIV ESTADUAL PAULISTA,"UNIV ESTADUAL PAULISTA, DEPT CIENCIA INFORMACAO, SAO PAULO, BRAZIL"
"JOCSON, KORINA M.",USA,UNIV MASSACHUSETTS AMHERST
"BAILEY, M.",USA,UNIV CALIF LOS ANGELES
"UIJTDEHAAGE, S.",USA,UNIV CALIF LOS ANGELES
"MARTENS, HANS",BELGIUM,UNIV ANTWERP
"MERCEA, DAN",ENGLAND,CITY UNIV LONDON
"SUN, CHYNG",USA,NYU
"LIBERMAN, RACHAEL",USA,UNIV DENVER
"BUTLER, ALLISON",USA,UNIV MASSACHUSETTS AMHERST
"LEE, SUN YOUNG",USA,NYU
"WEBB, RACHEL",USA,NYU
"YOUNG, JIMMY A.",USA,UNIV NEBRASKA
"PEROVIC, JELENA",ITALY,UNIV ROMA LA SAPIENZA
"ROCIO CRUZ-DIAZ, MARIA",SPAIN,PABLO OLAVIDE UNIV
"AGUADED GOMEZ, MARIA CINTA",SPAIN,UNIV HUELVA
"LOPEZ ROMERO, LAURA",SPAIN,UNIV MALAGA
"DROTNER, KIRSTEN",DENMARK,UNIV SOUTHERN DENMARK
"KOBBERNAGEL, CHRISTIAN",DENMARK,ROSKILDE UNIV
"LIVINGSTONE, SONIA",LSE,"ICA, LONDON, ENGLAND"
"SANG, GUOYUAN",CHINA,BEIJING NORMAL UNIV
"WALTHER, BIRTE",GERMANY,INST THERAPY & HLTH RES IFT NORD
"HANEWINKEL, REINER",INST THERAPY & HLTH RES IFT NORD,"UNIV MED CTR SCHLESWIG HOLSTEIN, INST MED PSYCHOL & MED SOCIOL, KIEL, GERMANY"
"MORGENSTERN, MATTHIS",INST THERAPY & HLTH RES IFT NORD,"UNIV MED CTR SCHLESWIG HOLSTEIN, INST MED PSYCHOL & MED SOCIOL, KIEL, GERMANY"
"GARCIA-RUIZ, ROSA",UNIV CANTABRIA,"UNIV CANTABRIA, DEPT EDUC, E-39005 SANTANDER, SPAIN"
"RAMIREZ-GARCIA, ANTONIA",UNIV CORDOBA,"UNIV CORDOBA, EDUC SCI DEPT, CORDOBA, SPAIN"
"RODRIGUEZ-ROSELL, MARIA M.",CATHOLIC UNIV MURCIA,"CATHOLIC UNIV MURCIA, SOCIAL & COMMUN SCI DEPT, MURCIA, SPAIN"
"LENTZ, BECKY",CANADA,MCGILL UNIV
"FINGAR, KATHRYN R.",UNIV CALIF LOS ANGELES,"CONSORTIUM MEDIA LITERACY, MALIBU, CA 90265 USA"
"JOLLS, TESSA",CTR MEDIA LITERACY,"CONSORTIUM MEDIA LITERACY, MALIBU, CA 90265 USA"
"TIMMS, LYDIA",AUSTRALIA,CURTIN UNIV
"WILLIAMS, CORI",AUSTRALIA,CURTIN UNIV
"KANE, ROBERT",AUSTRALIA,CURTIN UNIV
"STOKES, STEPHANIE F.",ZEALAND,UNIV CANTERBURY
"TORRENT-SELLENS, JOAN",SPAIN,UNIV OBERTA CATALUNYA
"LATHAM, DON",USA,FLORIDA STATE UNIV
"HOLLISTER, JONATHAN M.",USA,FLORIDA STATE UNIV
"DOUGLAS, ERIKA L.",UNIV PITTSBURGH,"UNIV PITTSBURGH, MED CTR, PITTSBURGH, PA 15219 USA"
"LAND, STEPHANIE R.",NCI,"NCI, NIH, BETHESDA, MD 20892 USA"
"FINE, MICHAEL J.","UNIV PITTSBURGH, DIV GEN INTERNAL MED, SCH MED, PITTSBURGH, PA 15213 USA","VA PITTSBURGH HEALTHCARE SYST, CHERP, PITTSBURGH, PA 15240 USA"
"DE LA FUENTE PRIETO, JULIAN",SPAIN,UNIV ALCALA DE HENARES
"WIAZOWSKI, JAROSLAW",POLAND,AKAD PEDAG SPECJALNEJ
"VIDAUSKYTE, LINA",LITHUANIA,KAUNO TECHNOL UNIV
"SODEIKA, TOMAS",LITHUANIA,VILNIAUS UNIV
"UNAL, EMRE",TURKEY,NIGDE UNIV
"ISERI, KAMIL",TURKEY,NIGDE UNIV
"LEE, A. Y. L.","HONG KONG BAPTIST UNIV, DEPT PERIODISMO, HONG KONG, HONG KONG, PEOPLES R CHINA","HONG KONG BAPTIST UNIV, DEPT PERIODISMO, HONG KONG, HONG KONG, PEOPLES R CHINA"
"SO, C. Y. K.","UNIV CHINA HONG KONG, ESCUELA PERIODISMO & COMUNICAC, HONG KONG, HONG KONG, PEOPLES R CHINA","UNIV CHINA HONG KONG, ESCUELA PERIODISMO & COMUNICAC, HONG KONG, HONG KONG, PEOPLES R CHINA"
"ABAD ALCALA, LEOPOLDO",SPAIN,UNIV CEU SAN PABLO MADRID
"JANNETH SANTOS MARTINEZ, CLARA",COLOMBIA,UNIV AUTONOMA BUCARAMANGA UNAB
"CAKMAK, EBUBEKIR",TURKEY,ABANT IZZET BAYSAL UNIV
"THEVENIN, BENJAMIN",USA,BRIGHAM YOUNG UNIV
"NEYS, JOYCE",NETHERLANDS,ERASMUS UNIV
"KAESTLE, CHRISTINE",VIRGINIA TECH,"DEAKIN UNIV, MELBOURNE, VIC, AUSTRALIA"
"CHEN, YVONNE S.",USA,UNIV KANSAS
"WALLIS, RICHARD",ENGLAND,BOURNEMOUTH UNIV
"DENG, FENG",SINGAPORE,NATL INST EDUC
"VRABEC, NORBERT",UNIV SS CYRIL & METHODIUS,"UNIV SS CYRIL & METHODIUS, FAC MASS MEDIA COMMUN, TRNAVA 91701, SLOVAKIA"
"POLIEVKOVA, PETRA",UNIV SS CYRIL & METHODIUS,"UNIV SS CYRIL & METHODIUS, FAC MASS MEDIA COMMUN, TRNAVA 91701, SLOVAKIA"
"CLARK, LYNN SCHOFIELD",USA,UNIV DENVER
"ANTON CUADRADO, RAUL",SPAIN,UNED
"LEVRATTO, VALERIA",SPAIN,UNED
"RUTTEN, KRIS",UNIV GHENT,"UNIV GHENT, B-9000 GHENT, BELGIUM"
"CASEY, GAIL",AUSTRALIA,DEAKIN UNIV
"KAESTLE, CHRISTINE E.",USA,VIRGINIA TECH
"BIGBY, BRANDON",USA,VIRGINIA TECH
"BAZALGETTE, CARY",ENGLAND,UNIV LONDON
"ERSTAD, OLA",NORWAY,UNIV OSLO
"AMDAM, SYNNOVE",NORWAY,VOLDA UNIV COLL
"LIM, SUN SUN","NATL UNIV SINGAPORE, DEPT COMMUN & NEW MEDIA, SINGAPORE 117416, SINGAPORE","NATL UNIV SINGAPORE, DEPT COMMUN & NEW MEDIA, SINGAPORE 117416, SINGAPORE"
"BASNYAT, ICCHA","NATL UNIV SINGAPORE, DEPT COMMUN & NEW MEDIA, SINGAPORE 117416, SINGAPORE","NATL UNIV SINGAPORE, DEPT COMMUN & NEW MEDIA, SINGAPORE 117416, SINGAPORE"
"VADREVU, SHOBHA","NATL UNIV SINGAPORE, DEPT COMMUN & NEW MEDIA, SINGAPORE 117416, SINGAPORE","NATL UNIV SINGAPORE, DEPT COMMUN & NEW MEDIA, SINGAPORE 117416, SINGAPORE"
"CHAN, YOKE HIAN","NATL UNIV SINGAPORE, DEPT COMMUN & NEW MEDIA, SINGAPORE 117416, SINGAPORE","NATL UNIV SINGAPORE, DEPT COMMUN & NEW MEDIA, SINGAPORE 117416, SINGAPORE"
"PARKER, JESSICA K.",USA,SONOMA STATE UNIV
"RASINSKI, TIMOTHY V.",USA,KENT STATE UNIV
"ALVAREZ, CLAUDIO",CHILE,UNIV LOS ANDES
"SALAVATI, SADAF",SWEDEN,LINNAEUS UNIV
"MILRAD, MARCELO",SWEDEN,LINNAEUS UNIV
"NUSSBAUM, MIGUEL",CHILE,PONTIFICIA UNIV CATOLICA CHILE
"ESTHER DEL-MORAL-PEREZ, MA","UNIV OVIEDO, FAC TEACHER TRAINING & EDUC, ICTS EDUC, OVIEDO, SPAIN","UNIV OVIEDO, FAC TEACHER TRAINING & EDUC, ICTS EDUC, OVIEDO, SPAIN"
"VILLALUSTRE-MARTINEZ, LOURDES","UNIV OVIEDO, FAC TEACHER TRAINING & EDUC, ICTS EDUC, OVIEDO, SPAIN","UNIV OVIEDO, FAC TEACHER TRAINING & EDUC, ICTS EDUC, OVIEDO, SPAIN"
"MERCHANT, GUY","SHEFFIELD HALLAM UNIV, SHEFFIELD S1 1WB, S YORKSHIRE, ENGLAND","SHEFFIELD HALLAM UNIV, SHEFFIELD S1 1WB, S YORKSHIRE, ENGLAND"
"MACNAMARA, JIM",AUSTRALIA,UNIV TECHNOL SYDNEY
"THORNE-WALLINGTON, ELIZABETH",USA,WASHINGTON UNIV
"ROBERTS-SMITH, JENNIFER",CANADA,UNIV WATERLOO
"HARVEY, KATHRYN",CANADA,UNIV GUELPH
"DOBSON, TERESA M.",CANADA,UNIV BRITISH COLUMBIA
"GABRIELE, SANDRA",CANADA,YORK UNIV
"KOVACS, ALEXANDRA (SASHA)",CANADA,UNIV TORONTO
"RODRIGUEZ-ARENAS, OMAR",CANADA,UNIV ALBERTA
"RUECKER, STAN",USA,IIT INST DESIGN CHICAGO
"SINCLAIR, STEFAN",CANADA,MCGILL UNIV
"LEE, JOOYOUNG","IOWA STATE UNIV, AMES, IA 50011 USA","IOWA STATE UNIV, AMES, IA 50011 USA"
"CORDERO, EUGENE",USA,SAN JOSE STATE UNIV
"LAM, WAN SHUN EVA",USA,NORTHWESTERN UNIV
"MORRELL, ERNEST",USA,COLUMBIA UNIV
"WILSON, CAROLYN","UNIV TORONTO, ASSOC MEDIA LITERACY CANADA, TORONTO, ON, CANADA","UNIV TORONTO, ONTARIO INST STUDIES EDUC, TORONTO, ON, CANADA"
"SALEH, IBRAHIM",UNIV CAPE TOWN,"UNIV AMER, DEPT PERIODISMO & COMUNICAC MASAS, EL CAIRO, EGYPT"
"MOELLER, SUSAN",UNIV MARYLAND,"UNIV MARYLAND, CTR INT MEDIOS COMUNICAC & AGENDA PUBL, COLLEGE PK, MD 20742 USA"
"POWERS, ELIA",USA,UNIV MARYLAND
"ROBERTS, JESSICA",USA,UNIV MARYLAND
"CULVER, SHERRI H.",TEMPLE UNIV,"TEMPLE UNIV, DEPT BROADCASTING TELECOMMUN & MASS MEDIA, PHILADELPHIA, PA 19122 USA"
"JACOBSON, THOMAS",USA,TEMPLE UNIV
"REIA-BAPTISTA, VITOR","UNIV ALGARVE FARO, CIENCIAS COMUNICACAO LITERACIA MEDIA & LINGUAGENS, FARO, PORTUGAL","UNIV ALGARVE, RES CTR ARTS & COMMUN, FARO, PORTUGAL"
"PINTO, MANUEL",UNIV MINHO,"UNIV MINHO, COMMUN & SOC RES CTR, BRAGA, PORTUGAL"
"MORA, JORGE",MONTERREY INST TECHNOL,"UNIV SO CALIF, LABYRINTH PROJECT, SAN DIEGO, CA USA"
"AKIN, HEATHER",USA,UNIV WISCONSIN
"ROJAS, HERNANDO",USA,UNIV WISCONSIN
"SZABO, K.",HUNGARY,SEMMELWEIS UNIV
"TURY, F.",HUNGARY,SEMMELWEIS UNIV
"BRICKMAN, PEGGY",USA,UNIV GEORGIA
"GORMALLY, CARA",USA,GEORGIA INST TECHNOL
"FRANCOM, GREG",USA,NO STATE UNIV
"JARDELEZZ, SARAH E.",USA,MICHIGAN STATE UNIV
"SCHUTTE, VIRGINIA G. W.",USA,UNIV GEORGIA
"JORDAN, CARLY",USA,UNIV WYOMING
"KANIZAY, LISA",USA,UNIV GEORGIA
"CHANG, CHUN-YEN","NATL TAIWAN NORMAL UNIV, GRAD INST SCI EDUC, TAIPEI, TAIWAN","NATL TAIWAN NORMAL UNIV, DEPT EARTH SCI, TAIPEI, TAIWAN"
"RUNDGREN, CARL-JOHAN","LINKOPING UNIV, DEPT THEMAT STUDIES, NORRKOPING, SWEDEN","LINKOPING UNIV, DEPT THEMAT STUDIES, NORRKOPING, SWEDEN"
"RUNDGREN, SHU-NU CHANG","LINKOPING UNIV, DEPT SOCIAL & WELFARE STUDIES, SWEDISH NATL GRAD SCH SCI & TECHNOL EDUC RES, NORRKOPING, SWEDEN","LINKOPING UNIV, DEPT SOCIAL & WELFARE STUDIES, SWEDISH NATL GRAD SCH SCI & TECHNOL EDUC RES, NORRKOPING, SWEDEN"
"JEONG, SE-HOON",KOREA,KOREA UNIV
"CHO, HYUNYI",USA,PURDUE UNIV
"HWANG, YOORI",KOREA,MYONGJI UNIV
"VICTORIA SALGADO, M.","UNIV CALIF SAN FRANCISCO, DEPT MED, MED EFFECTIVENESS RES CTR DIVERSE POPULAT, DIV GEN INTERNAL MED, SAN FRANCISCO, CA 94143 USA","UNIV BUENOS AIRES, DEPT MED, PROGRAMA MED INTERNA GEN, BUENOS AIRES, DF, ARGENTINA"
"PEREZ-STABLE, ELISEO J.","UNIV CALIF SAN FRANCISCO, DEPT MED, MED EFFECTIVENESS RES CTR DIVERSE POPULAT, DIV GEN INTERNAL MED, SAN FRANCISCO, CA 94143 USA","UNIV CALIF SAN FRANCISCO, HELEN DILLER FAMILY COMPREHENS CANC CTR, SAN FRANCISCO, CA 94143 USA"
"KAPLAN, CELIA PATRICIA","UNIV CALIF SAN FRANCISCO, DEPT MED, MED EFFECTIVENESS RES CTR DIVERSE POPULAT, DIV GEN INTERNAL MED, SAN FRANCISCO, CA 94143 USA","UNIV CALIF SAN FRANCISCO, HELEN DILLER FAMILY COMPREHENS CANC CTR, SAN FRANCISCO, CA 94143 USA"
"GREGORICH, STEVEN E.",UNIV CALIF SAN FRANCISCO,"UNIV CALIF SAN FRANCISCO, DEPT MED, MED EFFECTIVENESS RES CTR DIVERSE POPULAT, DIV GEN INTERNAL MED, SAN FRANCISCO, CA 94143 USA"
"MEJIA, RAUL M.",UNIV BUENOS AIRES,"UNIV BUENOS AIRES, DEPT MED, PROGRAMA MED INTERNA GEN, BUENOS AIRES, DF, ARGENTINA"
"ALDERETE, ETHEL","CONSEJO NACL INVEST CIENT & TECN CONICET, SAN SALVADOR DE JUJUY, ARGENTINA","UNIV NACL JUJUY, SAN SALVADOR DE JUJUY, ARGENTINA"
"KESTEN, ALPER","ONDOKUZ MAYIS UNIV, TR-55139 KURUPELIT, TURKEY","ONDOKUZ MAYIS UNIV, FAC EDUC, DEPT PRIMARY EDUC, ATAKUM SAMSUN, TURKEY"
"GUTIERREZ MARTIN, ALFONSO","UNIV VALLADOLID, SCH EDUC SEGOVIA, SEGOVIA, SPAIN","UNIV VALLADOLID, E-47002 VALLADOLID, SPAIN"
"TYNER, KATHLEEN","UNIV TEXAS AUSTIN, DEPT RADIOTELEVIS FILM, AUSTIN, TX 78712 USA","UNIV TEXAS AUSTIN, AUSTIN, TX 78712 USA"
"SOEP, ELISABETH",USA,YOUTH RADIO
"DEL VALLE, CARLOS",CHILE,UNIV LA FRONTERA TEMUCO
"DENEGRI, MARIANELA",CHILE,UNIV LA FRONTERA TEMUCO
"KENDALL, ALEX",ENGLAND,BIRMINGHAM CITY UNIV BIRMINGHAM
"MCDOUGALL, JULIAN",ENGLAND,WOLVERHAMPTON UNIV
"PENUEL, WILLIAM R.",SRI INT,"SRI INT, MENLO PK, CA 94025 USA"
"GALLAGHER, LAWRENCE P.",SRI INT,"SRI INT, MENLO PK, CA 94025 USA"
"LLORENTE, CARLIN",SRI INT,"SRI INT, MENLO PK, CA 94025 USA"
"DOMINGUEZ, XIMENA",SRI INT,"SRI INT, MENLO PK, CA 94025 USA"
"VANDERBORGHT, MIEKE",SRI INT,"SRI INT, MENLO PK, CA 94025 USA"
"BATES, LAUREN",EDUC DEV CTR INC,"EDUC DEV CTR INC, NEW YORK, NY 10014 USA"
"PASNIK, SHELLEY",EDUC DEV CTR INC,"EDUC DEV CTR INC, NEW YORK, NY 10014 USA"
"TOWNSEND, EVE",EDUC DEV CTR INC,"EDUC DEV CTR INC, NEW YORK, NY 10014 USA"
"HUPERT, NAOMI",EDUC DEV CTR INC,"EDUC DEV CTR INC, NEW YORK, NY 10014 USA"
"BONNSTETTER, BETH E.",USA,ADAMS STATE COLL
"COHEN, MARILYN",UNIV WASHINGTON,"UNIV WASHINGTON, COLL EDUC, SEATTLE, WA 98195 USA"
"MUNK, CARMEN","UNIV WURZBURG, INST PSYCHOL, D-97070 WURZBURG, GERMANY","UNIV WURZBURG, INST PSYCHOL, D-97070 WURZBURG, GERMANY"
"SCHNEIDER, WOLFGANG","UNIV WURZBURG, INST PSYCHOL, D-97070 WURZBURG, GERMANY","UNIV WURZBURG, INST PSYCHOL, D-97070 WURZBURG, GERMANY"
"WATERHOUSE, MONICA",CANADA,UNIV OTTAWA
"GEIMER, ALEXANDER",GERMANY,FU BERLIN
"KAHNE, JOSEPH",USA,MILLS COLL
"LEE, NAM-JIN",USA,COLL CHARLESTON
"FEEZELL, JESSICA TIMPANY",USA,UC SANTA BARBARA
