author_full_name,country,university
"MANGANELLI, SARA",ITALY,NATL INST EVALUAT EDUC SYST
"BIASI, VALERIA",ITALY,ROMA TRE UNIV
"REY, JUAN",ECUADOR,UNIV GUAYAQUIL
"HERNANDEZ-SANTAOLALLA, VICTOR",ECUADOR,UNIV GUAYAQUIL
"SILVA-VERA, FRANCISCO",ECUADOR,UNIV GUAYAQUIL
"MEANDRO-FRAILE, EVA",ECUADOR,UNIV GUAYAQUIL
"KELLY, COURTNEY",USA,MANHATTANVILLE COLL
"BROWER, CARLEIGH",USA,MANHATTANVILLE COLL
"PETRANOVA, DANA",SLOVAKIA,UNIV SS CYRIL & METHODIUS
"HOSSOVA, MONIKA",SLOVAKIA,UNIV SS CYRIL & METHODIUS
"VELICKY, PETER",SLOVAKIA,UNIV SS CYRIL & METHODIUS
"MORAVCIKOVA, MARIA","UNIV SS CYRIL & METHODIUS, FAC MASS MEDIA COMMUN, TRNAVA 91701, SLOVAKIA","UNIV SS CYRIL & METHODIUS, FAC MASS MEDIA COMMUN, NAM J HERDU 2, TRNAVA 91701, SLOVAKIA"
"FIGUERAS-MAZ, MONICA",SPAIN,UNIV POMPEU FABRA
"MASANET, MARIA-JOSE",SPAIN,UNIV POMPEU FABRA
"FERRES, JOAN",SPAIN,UNIV POMPEU FABRA
"MOEKOTTE, PAULO",NETHERLANDS,OPEN UNIV NETHERLANDS
"BRAND-GRUWEL, SASKIA",NETHERLANDS,OPEN UNIV NETHERLANDS
"RITZEN, HENK",NETHERLANDS,SAX UNIV APPL SCI
"MIHAILIDIS, PAUL","EMERSON COLL, MA CIV MEDIA ART & PRACTICE, BOSTON, MA 02116 USA","EMERSON COLL, MEDIA LITERACY CIV MEDIA & COMMUNITY ACTIVISM, BOSTON, MA 02116 USA"
"VIOTTY, SAMANTHA",USA,EMERSON COLL
"ROTHONI, ANASTASIA",GREECE,UNIV ATHENS
"QUINTANAL, FELIPE",SPAIN,COLEGIO MARISTA LA INMACULADA
"AIREY, JOHN",LINNAEUS UNIV,"UPPSALA UNIV, DEPT PHYS & ASTRON, UNIV PHYS EDUC RES GRP, UPPSALA, SWEDEN"
"LAURIDSEN, KAREN M.",DENMARK,AARHUS UNIV
"RASANEN, ANNE",FINLAND,UNIV JYVASKYLA
"SALO, LINUS",SWEDEN,STOCKHOLM UNIV
"SCHWACH, VERA",NORWAY,NORD INST STUDIES INNOVAT RES & EDUC
"TULLY, MELISSA","UNIV IOWA, IOWA CITY, IA 52242 USA","UNIV IOWA, SCH JOURNALISM & MASS COMMUN, IOWA CITY, IA 52242 USA"
"VRAGA, EMILY K.","GEORGE MASON UNIV, FAIRFAX, VA 22030 USA","GEORGE MASON UNIV, DEPT COMMUN, FAIRFAX, VA 22030 USA"
"SAUNDERS, JANE M.",USA,TEXAS STATE UNIV
"ASH, GWYNNE ELLEN",USA,TEXAS STATE UNIV
"SALAZAR, ISABELLE",USA,AUSTIN INDEPENDENT SCH DIST
"WOHLWEND, KAREN E.",USA,INDIANA UNIV
"GORDON, CHLOE S.","AUSTRALIAN CATHOLIC UNIV, CTR HLTH & SOCIAL RES, ST PATRICKS CAMPUS,LEVEL 5,215 SPRING ST, MELBOURNE, VIC 3000, AUSTRALIA","AUSTRALIAN CATHOLIC UNIV, CTR HLTH & SOCIAL RES, MELBOURNE, VIC 3065, AUSTRALIA"
"KERVIN, LISA K.",UNIV WOLLONGONG,"UNIV WOLLONGONG, EARLY START RES INST, WOLLONGONG, NSW, AUSTRALIA"
"HOWARD, STEVEN J.",UNIV WOLLONGONG,"UNIV WOLLONGONG, EARLY START RES INST, WOLLONGONG, NSW, AUSTRALIA"
"JONES, SANDRA C.","AUSTRALIAN CATHOLIC UNIV, CTR HLTH & SOCIAL RES, MELBOURNE, VIC, AUSTRALIA","AUSTRALIAN CATHOLIC UNIV, CTR HLTH & SOCIAL RES, ST PATRICKS CAMPUS,LEVEL 5,215 SPRING ST, MELBOURNE, VIC 3000, AUSTRALIA"
"HU, TINGTING",CHINA,HANGZHOU DIANZI UNIV
"VELAZQUEZ, ISABEL",USA,UNIV NEBRASKA
"ROGERS, ALAN",ENGLAND,UNIV EAST ANGLIA
"DUURSMA, ELISABETH",AUSTRALIA,UNIV WOLLONGONG
"MEIJER, ANNA",NETHERLANDS,UNIV GRONINGEN
"DE BOT, KEES",NETHERLANDS,UNIV GRONINGEN
"DANOV, DANAIL",BULGARIA,SOFIA UNIV
"FIIALKA, SVETLANA",UKRAINE,NATL TECH UNIV UKRAINE
"GALAKTIONOVA, TATIANA",RUSSIA,ST PETERSBURG UNIV
"MOKSHINA, YULIYA",RUSSIA,ST PETERSBURG UNIV
"TEPLYASHINA, A. N.",RUSSIA,ST PETERSBURG STATE UNIV
"PAVLUSHKINA, N. A.",RUSSIA,ST PETERSBURG STATE UNIV
"VAN AUDENHOVE, LEO","UNIV CAPE TOWN, RONDEBOSCH, SOUTH AFRICA","VRIJE UNIV BRUSSEL, IMEC SMIT, PL LAAN 2, B-1050 BRUSSELS, BELGIUM"
"VANWYNSBERGHE, HADEWIJCH","MEDIAWIJS FLEMISH KNOWLEDGE CTR MEDIA LITERACY, BRUSSELS, BELGIUM","MEDIAWIJS BE, IMEC, PL LAAN 9, B-1050 BRUSSELS, BELGIUM"
"MARIEN, ILSE",VRIJE UNIV BRUSSEL,"IMEC SMIT, PL LAAN 9, B-1050 BRUSSELS, BELGIUM"
"SYZONOV, DMYTRO",TARAS SHEVCHENKO NATL UNIV KYIV,"TARAS SHEVCHENKO NATL UNIV KYIV, DEPT STYLIST & LANGUAGE COMMUN, 14 SHEVCHENKO BLVD, KIEV, UKRAINE"
"DANEELS, ROWAN",UNIV ANTWERP,"KATHOLIEKE UNIV LEUVEN, FAC SOCIAL SCI, IMS, LEUVEN, BELGIUM"
"GARIFULLIN, VASIL ZAGITOVICH",RUSSIA,KAZAN FED UNIV
"SABIROVA, LYAILYA RASHITOVNA",RUSSIA,KAZAN FED UNIV
"MONREAL GUERRERO, INES MARIA",SPAIN,UNIV VALLADOLID
"LUIS PAREJO, JOSE",SPAIN,UNIV VALLADOLID
"CORTON DE LAS HERAS, MARIA DE LA O.",SPAIN,UNIV VALLADOLID
"POWELL, MANDY",SCOTLAND,QUEEN MARGARET UNIV
"LABAS, DANIJEL",CROATIA,SVEUCILISTA ZAGREBU
"BONFIGLIO, RYAN P.",USA,COLUMBIA THEOL SEMINARY
"GENDINA, NATALIA",RUSSIA,KEMEROVO STATE UNIV CULTURE & ARTS
"KITSA, MARIANA",UKRAINE,NATL UNIV
"JOANOU, JAMIE PATRICE",USA,WESTMINSTER COLL
"CHEN, YVONNES",UNIV KANSAS,"UNIV KANSAS, WILLIAM ALLEN WHITE SCH JOURNALISM & MASS COMMUN, LAWRENCE, KS 66045 USA"
"PORTER, KATHLEEN J.",USA,VIRGINIA TECH
"ZOELLNER, JAMIE",VIRGINIA TECH,"VIRGINIA TECH, DEPT HUMAN NUTR FOODS & EXERCISE, BLACKSBURG, VA 24061 USA"
"ESTABROOKS, PAUL A.",UNIV NEBRASKA MED CTR,"VIRGINIA TECH, DEPT HUMAN NUTR FOODS & EXERCISE, BLACKSBURG, VA 24061 USA"
"ASTAKHOVA, L. V.",RUSSIA,NATL RES UNIV
"KIM, SO JUNG",USA,UNIV TEXAS EL PASO
"SCHREURS, KATHLEEN",CANADA,UNIV WESTERN ONTARIO
"QUAN-HAASE, ANABEL",UNIV WESTERN ONTARIO,"UNIV WESTERN ONTARIO, DEPT SOCIOL, LONDON, ON, CANADA"
"MARTIN, KIM",CANADA,UNIV GUELPH
"CUBBAGE, JAYNE",USA,BOWIE STATE UNIV
"GILLIANS, PHYLLIS",USA,BOWIE STATE UNIV
"ALGOOD, CARL",USA,BOWIE STATE UNIV
"RAMSEY, VIVIAN SHANNON",USA,BOWIE STATE UNIV
"DHILLON, MEGHA",INDIA,UNIV DELHI
"DEEPAK, SIKSHA",INDIA,UNIV DELHI
"HERZBERG, TINA S.",USA,UNIV SOUTH CAROLINA UPSTATE
"ROSENBLUM, L. PENNY",USA,UNIV ARIZONA
"ROBBINS, MARY E.",USA,SOUTH CAROLINA SCH DEAF & BLIND
"HOBBS, RENEE","UNIV RHODE ISL, HARRINGTON SCH COMMUN & MEDIA, KINGSTON, RI 02881 USA","UNIV RHODE ISL, HARRINGTON SCH COMMUN & MEDIA, KINGSTON, RI 02881 USA"
"TUZEL, SAIT",CANAKKALE ONSEKIZ MART UNIV,"CANAKKALE ONSEKIZ MART UNIV, TR-17100 CANAKKALE, TURKEY"
"DIERGARTEN, ANNA KATHARINA","UNIV WURZBURG, INST PSYCHOL, D-97070 WURZBURG, GERMANY","UNIV WURZBURG, INST PSYCHOL, D-97070 WURZBURG, GERMANY"
"NIEDING, GERHILD","UNIV WURZBURG, INST PSYCHOL, D-97070 WURZBURG, GERMANY","UNIV WURZBURG, INST PSYCHOL, D-97070 WURZBURG, GERMANY"
"MOECKEL, THOMAS",GERMANY,UNIV WURZBURG
