"conference_title","conference_date","conference_location","conference_sponsor"
"WESTERN REGIONAL MEETING OF THE AMERICAN-FEDERATION-FOR-MEDICAL-RESEARCH","JAN 28-30, 2016","CARMEL, CA","AMER FEDERAT MED RES"
"6TH ANNUAL MEETING OF THE SOCIETY-FOR-PERSONALITY-AND-SOCIAL-PSYCHOLOGY","2005","NEW ORLEANS, LA","SOC PERSONAL & SOCIAL PSYCHOL"
"INTERNATIONAL CONFERENCE ON EATING DISORDERS OF THE;   ACADEMY-FOR-EATING-DISORDERS","APR 27-30, 2005","MONTREAL, CANADA","ACAD EATING DISORDERS"
"SUMMIT OF THE ACTION-COALITION-FOR-MEDIA-EDUCATION","JUL 01-04, 2004","SAN FRANCISCO, CA","ACT COALIT MEDIA EDUC"
"ANNUAL CONFERENCE OF THE;   INTERNATIONAL-SOCIETY-OF-BEHAVIORAL-NUTRITION-AND-PHYSICAL-ACTIVITY","2005","AMSTERDAM, NETHERLANDS","INT SOC BEHAV NUTR & PHYS ACTIV"
